stock,open,close,low,high
CVCO,68.4,68.7,68.4,68.7
SCS,15.77,15.58,15.58,15.836
SCU,26.11,26.11,26.11,26.11
BBD,12.21,12.18,12.1599,12.26
BBG,26.72,26.17,26.07,26.98
BBF,12.46,12.39,12.39,12.46
BBH,87.97,88.19,87.81,88.76
SCON,2.15,2.15,2.15,2.15
SCX,14.57,14.57,14.57,14.57
BBK,13.78,13.76,13.76,13.78
SCOK,1.16,1.16,1.16,1.16
SCZ,50.6,50.54,50.5,50.84
STPZ,52.88,52.9,52.84,52.9
JIVE,11.16,11.2,11.16,11.24
BBL,61.35,61.27,61.25,61.37
BBN,19.06,19.0503,19.05,19.06
SDD,12.14,12.14,12.14,12.14
TWTC,30.58,30.32,30.29,30.58
BBT,37.11,36.96,36.91,37.18
SCOR,28.47,28.445,28.21,28.79
CEAI,0.298,0.298,0.298,0.298
BBW,7.59,7.59,7.59,7.59
BBY,39.75,40.24,39.61,40.3
BBX,15.62,15.6,15.6,15.62
FNLC,17.12,17.49,17.12,17.49
SDP,20.9,20.9,20.9,20.9
SDR,8.94,9.01,8.93,9.0328
BCA,21.04,20.68,20.61,21.04
SDT,9.28,9.26,9.26,9.3
SDS,29.88,29.985,29.87,30.0
BCC,29.31,29.27,29.18,29.36
BCF,8.65,8.66,8.65,8.67
BCE,43.34,43.19,43.08,43.34
BCH,86.67,86.32,86.32,86.67
STON,25.35,25.62,25.26,25.62
KURRY,35.99,35.99,35.99,35.99
SDY,72.33,72.23,72.23,72.448
JRONY,38.25,38.25,38.25,38.25
BSAC,23.34,23.33,23.28,23.34
SEA,21.46,21.34,21.3,21.55
BCO,34.14,34.07,33.96,34.27
BCR,133.16,133.07,132.94,134.15
SEB,2778.12,2778.12,2778.12,2778.12
SEE,34.02,33.9,33.835,34.021
BCS,18.11,18.03,18.03,18.11
BCV,18.46,18.52,18.46,18.52
SEF,20.61,20.67,20.61,20.67
BCX,11.51,11.55,11.51,11.55
CVCY,11.05,11.05,11.05,11.05
IWSY,1.9,1.9,1.9,1.91
HCOM,29.39,29.5,29.39,29.5
SEM,11.63,11.49,11.45,11.63
TWSI,1.43,1.43,1.43,1.43
SEP,45.4,45.4,45.31,45.8399
BDC,70.05,69.71,69.71,70.37
HTSI,49.36,49.35,49.35,49.37
A,57.1,56.86,56.86,57.1
TKPPY,23.612,23.62,23.6,23.64
B,38.26,37.93,37.8,38.36
BDE,13.36,13.29,13.29,13.484
NVEC,58.31,59.19,56.04,59.19
C,52.01,51.97,51.91,52.13
BDD,8.35,8.35,8.35,8.35
D,64.61,64.2,64.17,64.64
STRT,44.7,44.7,44.7,44.7
STRS,17.43,17.43,17.43,17.43
SEV,6.65,6.65,6.65,6.65
E,47.72,47.66,47.59,47.72
F,15.45,15.3945,15.37,15.45
G,18.35,18.22,18.2,18.37
H,49.23,49.85,49.23,49.86
STSA,33.91,33.73,33.7,34.01
I,22.49,22.49,22.34,22.7
BDJ,7.95,7.92,7.92,7.95
K,60.98,60.85,60.8,61.0
BDL,13.2,13.2,13.19,13.2
L,48.12,47.95,47.94,48.15
MLLGF,26.8193,26.8948,26.8193,26.8948
M,53.17,53.56,53.17,53.72
BDN,13.86,13.82,13.8021,13.88
MSBF,8.08,8.08,8.08,8.08
CYS.PR.B,19.65,19.7,19.65,19.7
N,101.99,101.634,101.51,102.5399
O,37.38,37.26,37.21,37.41
P,26.43,26.64,26.42,26.77
STSI,1.13,1.03,1.02,1.14
CECO,5.67,5.6,5.55,5.67
Q,46.11,45.9501,45.92,46.59
